Image,Name,SKU,Couleur,Stock,Price,Categories,Sous Categories,Tags,Featured,Date
,Durag Noir,DUR-ONE-BLA-SAT,Noir,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Rouge,DUR-ONE-ROU-SAT,Rouge,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Bleu,DUR-ONE-BLE-SAT,Bleu,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Marron,DUR-ONE-MAR-SAT,Marron ,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Rose,DUR-ONE-ROS-SAT,Rose,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Lac Bleu,DUR-ONE-LBL-SAT,Lac Bleu,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Blanc,DUR-ONE-BLC-SAT,Blanc,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Jaune,DUR-ONE-JAU-SAT,Jaune,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Orange,DUR-ONE-ORA-SAT,Orange,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Violet,DUR-ONE-VIO-SAT,Violet,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Gris,DUR-ONE-GRI-SAT,Gris,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Vert,DUR-ONE-VER-SAT,Vert,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Durag Gold,DUR-ONE-GOL-SAT,Gold,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Wave Cap Noir,WAV-ONE-BLA-SAT,Noir,15,5000,Durags,Classique,"durag, silky, soyeux",No,
,Wave Cap Rouge,WAV-ONE-ROU-SAT,Rouge,15,5000,Wave Cap,Classique,"wave cap, silky, soyeux",No,
,Wave Cap Bleu,WAV-ONE-BLE-SAT,Bleu,15,5000,Wave Cap,Classique,"wave cap, silky, soyeux",No,
,Wave Cap Marron,WAV-ONE-MAR-SAT,Marron ,15,5000,Wave Cap,Classique,"wave cap, silky, soyeux",No,
,Wave Cap Rose,WAV-ONE-ROS-SAT,Rose,15,5000,Wave Cap,Classique,"wave cap, silky, soyeux",No,
,Wave Cap Lac Bleu,WAV-ONE-LBL-SAT,Lac Bleu,15,5000,Wave Cap,Classique,"wave cap, silky, soyeux",No,
,Wave Cap Blanc,WAV-ONE-BLC-SAT,Blanc,15,5000,Wave Cap,Classique,"wave cap, silky, soyeux",No,
,Wave Cap Jaune,WAV-ONE-JAU-SAT,Jaune,15,5000,Wave Cap,Classique,"wave cap, silky, soyeux",No,
